plateID,well,field,n_0,time_slice,elapsed_minutes,Drug1,Drug1Concentration,Drug2,Drug2Concentration,treatment,cell_cycle_state_threshold,n,length,Nuclei_CKn_NR_area,Nuclei_CKn_CC_mean_intensity,Cyto_CKn_CC_mean_intensity,Cell_CKn_CC_mean_intensity_ratio,Cell_CKn_CC_max_intensity_ratio,Cell_CKn_CC_min_intensity_ratio,G1_proportion,neighborhood_20,neighborhood_45,neighborhood_70,drugs,cell_count_norm_T0
HC00701,A1,1,121,00d05h00m,300,Untreated,0,none,none,Untreated,0.8,121,53.6,200.15,543.28,331.79,0.72,0.91,0.55,0.44,1.6,3.12,4.52,Untreated,1
HC00701,A1,1,121,00d05h30m,330,Untreated,0,none,none,Untreated,0.8,119,57.46,204.18,562.97,334.64,0.71,0.89,0.55,0.44,1.54,3.08,4.24,Untreated,0.9834710743801653
HC00701,A1,1,121,00d06h00m,360,Untreated,0,none,none,Untreated,0.8,122,56.75,202.11,562.15,331.32,0.7,0.88,0.55,0.39,1.57,3.08,4.31,Untreated,1.0082644628099173
HC00701,A1,1,121,00d06h30m,390,Untreated,0,none,none,Untreated,0.8,121,57.17,204.37,574.57,320.89,0.68,0.88,0.56,0.39,1.51,3.03,4.27,Untreated,1
HC00701,A1,1,121,00d07h00m,420,Untreated,0,none,none,Untreated,0.8,124,57.94,202.77,584.05,326.07,0.69,0.88,0.56,0.4,1.56,3.08,4.32,Untreated,1.024793388429752
HC00701,A1,1,121,00d07h30m,450,Untreated,0,none,none,Untreated,0.8,125,57.62,199.05,583.42,321.57,0.69,0.88,0.58,0.42,1.54,3.19,4.34,Untreated,1.0330578512396693
HC00701,A1,1,121,00d08h00m,480,Untreated,0,none,none,Untreated,0.8,125,60.21,204.67,570.87,323.33,0.69,0.89,0.56,0.42,1.53,3.16,4.42,Untreated,1.0330578512396693
HC00701,A1,1,121,00d08h30m,510,Untreated,0,none,none,Untreated,0.8,128,62.38,195.39,584.46,321.15,0.68,0.89,0.55,0.4,1.55,3.22,4.53,Untreated,1.0578512396694215
HC00701,A1,1,121,00d09h00m,540,Untreated,0,none,none,Untreated,0.8,128,62.23,195.73,570.56,328.13,0.7,0.91,0.56,0.42,1.58,3.22,4.52,Untreated,1.0578512396694215
HC00701,A1,1,121,00d09h30m,570,Untreated,0,none,none,Untreated,0.8,129,61.43,193.86,549.87,318.08,0.7,0.89,0.57,0.42,1.64,3.19,4.44,Untreated,1.0661157024793388
HC00701,A1,1,121,00d10h00m,600,Untreated,0,none,none,Untreated,0.8,128,63.09,192.92,548.96,318.63,0.7,0.87,0.58,0.41,1.72,3.36,4.56,Untreated,1.0578512396694215
HC00701,A1,1,121,00d10h30m,630,Untreated,0,none,none,Untreated,0.8,129,62.47,193.74,537.12,318.44,0.71,0.86,0.58,0.43,1.76,3.45,4.66,Untreated,1.0661157024793388
HC00701,A1,1,121,00d11h00m,660,Untreated,0,none,none,Untreated,0.8,129,63.78,190.81,562.58,327.31,0.69,0.88,0.57,0.4,1.87,3.53,4.83,Untreated,1.0661157024793388
HC00701,A1,1,121,00d11h30m,690,Untreated,0,none,none,Untreated,0.8,130,63.15,192.23,565.71,334.11,0.7,0.88,0.56,0.42,1.82,3.46,4.74,Untreated,1.0743801652892562
HC00701,A1,1,121,00d12h00m,720,Untreated,0,none,none,Untreated,0.8,130,63.86,195.02,556.69,331.41,0.7,0.88,0.57,0.41,1.85,3.49,4.92,Untreated,1.0743801652892562
HC00701,A1,1,121,00d12h30m,750,Untreated,0,none,none,Untreated,0.8,131,65.66,197.15,552.05,332.21,0.71,0.89,0.57,0.4,1.89,3.52,4.91,Untreated,1.0826446280991735
HC00701,A1,1,121,00d13h00m,780,Untreated,0,none,none,Untreated,0.8,131,67.24,193.53,561.14,329.35,0.7,0.87,0.56,0.4,1.79,3.52,5.17,Untreated,1.0826446280991735
HC00701,A1,1,121,00d13h30m,810,Untreated,0,none,none,Untreated,0.8,131,67.31,193.95,577.05,330.43,0.69,0.86,0.56,0.37,1.79,3.58,5.11,Untreated,1.0826446280991735
HC00701,A1,1,121,00d14h00m,840,Untreated,0,none,none,Untreated,0.8,133,66.43,194.12,592.97,337.72,0.68,0.85,0.55,0.35,1.87,3.6,5.05,Untreated,1.0991735537190082
HC00701,A1,1,121,00d14h30m,870,Untreated,0,none,none,Untreated,0.8,130,68.39,197.69,609.6,335.87,0.66,0.85,0.55,0.32,1.92,3.58,4.95,Untreated,1.0743801652892562
